game,hidden_data_per_state_bytes,hidden_data_per_state_kib,hidden_data_per_state_kb,max_states_per_hour,session_hours,hidden_data_per_session_bytes,hidden_data_per_session_kib,hidden_data_per_session_kb,hidden_data_per_session_mib,hidden_data_per_session_mb,bytes_per_second,kbps_decimal,accounts_investigated,notes
Baldur's Gate 3,506880,495.0,506.88,11.0,1.0,5575680,5445.0,5575.68,5.3173828125,5.57568,1548.8,12.3904,5,Values transcribed from Table III
Cyberpunk 2077,64205,62.7001953125,64.205,15.0,1.0,963075,940.5029296875,963.075,0.9184598922729492,0.963075,267.5208333333333,2.1401666666666666,5,Values transcribed from Table III
Divinity: Original Sin,95037,92.8095703125,95.037,1.0,1.0,95037,92.8095703125,95.037,0.09063434600830078,0.095037,26.399166666666666,0.21119333333333334,2,Values transcribed from Table III
Divinity: Original Sin 2,71281,69.6103515625,71.281,3.0,1.0,213843,208.8310546875,213.843,0.20393657684326172,0.213843,59.40083333333333,0.47520666666666667,3,Values transcribed from Table III
Dragon Age: Origins,72090,70.400390625,72.09,6.0,1.0,432540,422.40234375,432.54,0.4125022888183594,0.43254,120.15,0.9612,3,Values transcribed from Table III
Loop Hero,25743,25.1396484375,25.743,1.0,1.0,25743,25.1396484375,25.743,0.024550437927246094,0.025743,7.150833333333333,0.05720666666666667,3,Values transcribed from Table III
The Witcher 3,16056,15.6796875,16.056,7.0,1.0,112392,109.7578125,112.392,0.10718536376953125,0.112392,31.22,0.24976,2,Values transcribed from Table III
Watch Dogs: Legion,64205,62.7001953125,64.205,2.0,1.0,128410,125.400390625,128.41,0.12246131896972656,0.12841,35.669444444444444,0.28535555555555553,3,Values transcribed from Table III
Yakuza: Like a Dragon,16056,15.6796875,16.056,1.0,1.0,16056,15.6796875,16.056,0.01531219482421875,0.016056,4.46,0.03568,3,Values transcribed from Table III
